"YEAR","JURISDICTION","LOCATION","AGE_GROUP","DETECTION_TYPE","Sum(FINES)"
2008,"NSW","All regions","All ages","Camera Issued",590408
2008,"NT","All regions","All ages","Camera Issued",23865
2008,"QLD","All regions","All ages","Camera Issued",502886
2008,"SA","All regions","All ages","Camera Issued",119500
2008,"TAS","All regions","All ages","Camera Issued",59962
2008,"VIC","All regions","All ages","Camera Issued",1114036
2008,"WA","All regions","All ages","Camera Issued",228822
2009,"NSW","All regions","All ages","Camera Issued",513616
2009,"NT","All regions","All ages","Camera Issued",19893
2009,"QLD","All regions","All ages","Camera Issued",475870
2009,"SA","All regions","All ages","Camera Issued",107676
2009,"TAS","All regions","All ages","Camera Issued",67768
2009,"VIC","All regions","All ages","Camera Issued",1136590
2009,"WA","All regions","All ages","Camera Issued",254858
2010,"ACT","All regions","All ages","Camera Issued",58705
2010,"NSW","All regions","All ages","Camera Issued",390746
2010,"NT","All regions","All ages","Camera Issued",26775
2010,"QLD","All regions","All ages","Camera Issued",440622
2010,"SA","All regions","All ages","Camera Issued",91335
2010,"TAS","All regions","All ages","Camera Issued",37376
2010,"VIC","All regions","All ages","Camera Issued",1172460
2010,"WA","All regions","All ages","Camera Issued",300344
2011,"ACT","All regions","All ages","Camera Issued",56719
2011,"NSW","All regions","All ages","Camera Issued",389649
2011,"NT","All regions","All ages","Camera Issued",24633
2011,"QLD","All regions","All ages","Camera Issued",588714
2011,"SA","All regions","All ages","Camera Issued",61859
2011,"TAS","All regions","All ages","Camera Issued",24427
2011,"VIC","All regions","All ages","Camera Issued",1151555
2011,"WA","All regions","All ages","Camera Issued",558552
2012,"ACT","All regions","All ages","Camera Issued",54201
2012,"NSW","All regions","All ages","Camera Issued",432586
2012,"NT","All regions","All ages","Camera Issued",27730
2012,"QLD","All regions","All ages","Camera Issued",653679
2012,"SA","All regions","All ages","Camera Issued",54773
2012,"TAS","All regions","All ages","Camera Issued",7410
2012,"VIC","All regions","All ages","Camera Issued",1185037
